-19,98539183;-43,81394056;0,60
-20,19050083;-43,86524122;0,30
-20,34796078;-43,80250747;0,77
-20,36504983;-43,81759639;0,85
-20,35151447;-43,816254;0,74
-20,46938925;-43,86257255;0,40
-20,48146011;-43,86791345;0,50
-20,3690022;-43,81614053;0,60
-20,18202528;-43,860883;0,35
-20,123601;-43,93063384;0,56
-20,43297291;-43,8443912;0,43
-20,50028547;-43,8631012;0,23
-20,43670006;-43,98065333;0,14
-20,36907669;-43,8877165;0,30
-20,38893697;-43,84216427;0,23
-19,98245272;-43,8267942;0,70
-19,98637228;-43,84282455;0,70
-19,98809728;-43,83899556;0,80
-20,43550716;-43,98924616;0,43
-20,20898619;-43,94139911;0,90
-20,06185739;-43,96122208;0,32
-20,04810811;-43,95574138;0,14
-20,06653167;-43,92968875;0,20
-20,05606239;-43,92702236;0,15
-20,04950475;-43,92949839;0,20
-20,54530511;-43,98727798;0,17
-20,55919727;-43,98916645;0,14
-20,14943044;-43,89564772;0,20
-20,39735744;-43,83516914;0,30
-20,18365961;-43,88111733;0,23
-20,16109175;-43,89567995;0,30
-20,14112328;-43,89759892;0,14
-20,16532992;-43,89361405;0,05
-20,13190264;-43,87463259;0,16
-20,1287982;-43,87349608;0,09
-20,12293886;-43,87026822;0,20
-20,20471531;-43,88009384;0,78
-20,14857011;-43,81153481;0,24
-20,14595661;-43,80386019;0,40
-20,10807653;-44,07069145;0,89
-20,13299072;-44,08490922;0,85
-20,15211739;-44,09927534;0,67
-20,15530264;-44,11090873;0,20
-20,03934161;-43,91474897;0,30
-20,03861553;-43,92895316;0,16
-20,02434942;-43,94229409;0,21
-20,03921381;-43,91016086;0,18
-20,03676503;-43,90180503;0,40
-20,0459633;-43,89422761;0,32
-20,04475383;-43,8814115;0,42
-20,04752028;-43,87296869;0,26
-20,05822339;-43,95527764;0,28
-19,98545294;-43,87636377;0,83
-19,9797965;-43,85936103;0,40
-19,96801247;-43,88118406;0,50
-19,95841875;-43,87366078;0,35
-20,13076061;-43,91058925;0,17
-20,21881489;-43,89832836;0,68
-20,221426;-43,91683823;0,85
-20,19279909;-43,89889603;0,18
-20,148722;-44,10637636;0,84
-20,13863755;-43,88467205;0,30
-20,11924972;-44,07832039;0,80
-20,15232906;-44,16777775;0,16
-20,14388578;-44,19081339;0,23
-20,15613505;-44,15520203;0,20
-20,1485208;-44,18259991;0,18
-20,49252142;-43,85999825;0,05
-20,44162641;-43,87794061;0,02
-20,44381352;-43,87452145;0,10
-20,46138297;-43,86282044;0,18
-20,12402653;-44,12782541;0,25
-20,13660889;-44,12241022;0,10
-20,143293;-44,13996648;0,04
-20,13089231;-44,13894097;0,15
-20,37442983;-43,82443761;0,20
-20,36327933;-43,81485339;0,90
-20,34993111;-43,80983652;0,68
-20,36360436;-43,90114686;0,30
-20,41257703;-43,87538189;0,35
-20,39929614;-43,85861433;0,25
-20,43809925;-43,92628656;0,19
-20,44424186;-43,94665239;0,20
-20,444506;-43,964227;0,17
-20,43842816;-43,98638472;0,20
-20,53970834;-43,97202272;0,16
-20,53501156;-43,9418045;0,11
-20,55769811;-43,95306472;0,15
-20,52914661;-43,98164533;0,05
-20,15895069;-43,84580178;0,10
-20,41223889;-43,86547222;0,13
-20,38754722;-43,85424722;0,09
-20,39670733;-43,83983639;0,03
-20,3978337;-43,85198186;0,02
-20,40657219;-43,85609817;0,20
-20,40903797;-43,85191646;0,34
-20,41242735;-43,8374782;0,21
-20,41523167;-43,86520322;0,14
-20,41284674;-43,88093466;0,04
-20,42506812;-43,92675671;0,01
-20,43409136;-43,93079408;0,12
-20,43391011;-43,88304236;0,16
-20,42551758;-43,89210041;0,19
-20,22196007;-43,90833091;0,80
-20,21598217;-43,89269341;0,85
-20,19714746;-43,87911076;0,10
-20,19717962;-43,86697438;0,32
-20,18144416;-43,86670005;0,23
-20,12897136;-43,9257434;0,23
-20,12431147;-43,92441257;0,43
-20,11071383;-43,96408104;0,12
-20,04538849;-43,95513496;0,43
-20,06115973;-43,96186643;0,25
-20,02572112;-43,9434798;0,35
-20,039038;-43,92982851;0,34
-20,10812965;-44,07381235;0,78
-20,11857155;-44,1246337;0,10
-20,12780308;-44,13812275;0,23
-20,11938524;-44,13931506;0,30
-20,12121798;-44,12003754;0,32
-19,97386398;-43,89710864;0,77
-19,9648547;-43,8859298;0,87
-19,96718233;-43,88325846;0,74
-19,85799825;-43,80460546;0,95
-19,95984501;-43,88352158;0,80
